"Version","ID","Age","Gender","A5","A7","A8","B","C"
"1","NK_34","11","FEMALE","86.666666666667","86.666666666667","80","33.333333333333","100"
"2","NK_34","11","FEMALE","80","80","80","40","93.333333333333"
"1","NK_35","10","MALE","93.333333333333","93.333333333333","80","46.666666666667","100"
"2","NK_35","10","MALE","86.666666666667","86.666666666667","80","46.666666666667","100"
"1","NK_36","10","FEMALE","100","93.333333333333","93.333333333333","53.333333333333","100"
"2","NK_36","10","FEMALE","100","100","86.666666666667","33.333333333333","93.333333333333"
"1","NK_37","10","MALE","73.333333333333","66.666666666667","73.333333333333","26.666666666667","86.666666666667"
"2","NK_37","10","MALE","80","80","73.333333333333","40","86.666666666667"
"1","NK_38","10","FEMALE","80","73.333333333333","86.666666666667","33.333333333333","86.666666666667"
"2","NK_38","10","FEMALE","93.333333333333","86.666666666667","86.666666666667","40","93.333333333333"
"1","NK_39","10","MALE","86.666666666667","80","93.333333333333","46.666666666667","86.666666666667"
"2","NK_39","10","MALE","86.666666666667","86.666666666667","86.666666666667","40","100"
"1","NK_40","10","FEMALE","100","100","93.333333333333","53.333333333333","100"
"2","NK_40","10","FEMALE","93.333333333333","93.333333333333","80","53.333333333333","100"
"1","NK_41","10","MALE","100","93.333333333333","93.333333333333","40","100"
"2","NK_41","10","MALE","93.333333333333","93.333333333333","86.666666666667","40","93.333333333333"
"1","NK_42","10","FEMALE","80","80","80","26.666666666667","100"
"2","NK_42","10","FEMALE","86.666666666667","80","100","40","100"
"1","NK_43","10","MALE","100","100","86.666666666667","53.333333333333","100"
"2","NK_43","10","MALE","80","86.666666666667","80","40","86.666666666667"
"1","NK_44","5","FEMALE","80","66.666666666667","46.666666666667","40","86.666666666667"
"2","NK_44","5","FEMALE","73.333333333333","66.666666666667","66.666666666667","33.333333333333","73.333333333333"
"1","NK_45","9","MALE","80","80","73.333333333333","33.333333333333","86.666666666667"
"2","NK_45","9","MALE","86.666666666667","86.666666666667","73.333333333333","26.666666666667","73.333333333333"
"1","NK_46","9","FEMALE","73.333333333333","80","80","26.666666666667","93.333333333333"
"2","NK_46","9","FEMALE","80","80","73.333333333333","46.666666666667","100"
"1","NK_47","9","MALE","80","80","80","33.333333333333","100"
